                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0324,                 0.7807,                      1,                0.96094,             0.00023359,             0.00023359,             0.00023359
                      2,                0.56076,                0.90351,                      1,                 0.6936,             0.00047081,             0.00047081,             0.00047081
                      3,                0.27293,                0.92982,                      1,                 0.6488,             0.00070725,             0.00070725,             0.00070725
                      4,                0.23047,                0.85965,                      1,                0.69226,             0.00071047,             0.00071047,             0.00071047
                      5,                0.20174,                0.89474,                      1,                0.65869,             0.00070929,             0.00070929,             0.00070929
                      6,                0.19486,                 0.9386,                      1,                0.62488,             0.00070811,             0.00070811,             0.00070811
                      7,                0.12311,                0.95614,                      1,                0.61511,             0.00070693,             0.00070693,             0.00070693
                      8,                0.12677,                0.92982,                      1,                0.61829,             0.00070575,             0.00070575,             0.00070575
                      9,                0.15498,                0.89474,                      1,                0.65027,             0.00070458,             0.00070458,             0.00070458
                     10,                0.15079,                0.94737,                      1,                0.61719,              0.0007034,              0.0007034,              0.0007034
                     11,                0.11197,                0.92982,                      1,                0.62158,             0.00070222,             0.00070222,             0.00070222
                     12,                0.14241,                0.89474,                      1,                0.64197,             0.00070104,             0.00070104,             0.00070104
                     13,                0.13582,                0.91228,                      1,                0.65149,             0.00069986,             0.00069986,             0.00069986
                     14,                0.13674,                0.91228,                      1,                 0.6488,             0.00069868,             0.00069868,             0.00069868
                     15,                 0.1172,                0.91228,                      1,                0.64648,             0.00069751,             0.00069751,             0.00069751
                     16,                0.11332,                0.92982,                      1,                0.62366,             0.00069633,             0.00069633,             0.00069633
                     17,                0.09345,                0.95614,                      1,                0.60962,             0.00069515,             0.00069515,             0.00069515
                     18,                0.09586,                 0.9386,                      1,                0.61267,             0.00069397,             0.00069397,             0.00069397
                     19,                 0.0999,                0.91228,                      1,                0.65271,             0.00069279,             0.00069279,             0.00069279
                     20,                0.11794,                0.91228,                      1,                0.63257,             0.00069162,             0.00069162,             0.00069162
                     21,                0.10705,                0.94737,                      1,                0.61182,             0.00069044,             0.00069044,             0.00069044
                     22,                0.06825,                0.94737,                      1,                0.61731,             0.00068926,             0.00068926,             0.00068926
                     23,                0.08808,                 0.9386,                      1,                0.61462,             0.00068808,             0.00068808,             0.00068808
                     24,                0.08276,                0.95614,                      1,                 0.6084,              0.0006869,              0.0006869,              0.0006869
                     25,                0.06714,                0.94737,                      1,                0.61426,             0.00068573,             0.00068573,             0.00068573
                     26,                0.08702,                 0.9386,                      1,                0.60693,             0.00068455,             0.00068455,             0.00068455
                     27,                0.07201,                0.94737,                      1,                0.60608,             0.00068337,             0.00068337,             0.00068337
                     28,                0.08353,                0.92105,                      1,                0.61597,             0.00068219,             0.00068219,             0.00068219
                     29,                0.07169,                0.92105,                      1,                0.62012,             0.00068101,             0.00068101,             0.00068101
                     30,                0.07579,                 0.9386,                      1,                0.62122,             0.00067984,             0.00067984,             0.00067984
                     31,                0.06835,                0.92982,                      1,                0.61865,             0.00067866,             0.00067866,             0.00067866
                     32,                0.08007,                 0.9386,                      1,                0.61768,             0.00067748,             0.00067748,             0.00067748
