                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0692,                0.69298,                      1,                 1.0043,              0.0032593,              0.0032593,              0.0032593
                      2,                0.75275,                0.83333,                      1,                0.82495,              0.0065872,              0.0065872,              0.0065872
                      3,                0.55963,                0.86842,                      1,                0.70959,              0.0099095,              0.0099095,              0.0099095
                      4,                0.35896,                0.88596,                      1,                 0.6626,              0.0099753,              0.0099753,              0.0099753
                      5,                0.27169,                0.87719,                      1,                0.66052,               0.009967,               0.009967,               0.009967
                      6,                0.18436,                0.92105,                      1,                0.62195,              0.0099588,              0.0099588,              0.0099588
                      7,                0.17179,                0.88596,                      1,                 0.6571,              0.0099505,              0.0099505,              0.0099505
                      8,                0.17087,                0.92982,                      1,                0.63086,              0.0099422,              0.0099422,              0.0099422
                      9,                0.16408,                0.91228,                      1,                0.62952,               0.009934,               0.009934,               0.009934
                     10,                0.13497,                0.92105,                      1,                0.63232,              0.0099258,              0.0099258,              0.0099258
                     11,                0.10856,                0.95614,                      1,                0.59509,              0.0099175,              0.0099175,              0.0099175
                     12,                0.11699,                0.94737,                      1,                0.59851,              0.0099093,              0.0099093,              0.0099093
                     13,                0.09667,                 0.9386,                      1,                0.61487,               0.009901,               0.009901,               0.009901
                     14,                0.07858,                 0.9386,                      1,                0.60913,              0.0098928,              0.0098928,              0.0098928
                     15,                 0.0603,                 0.9386,                      1,                0.62585,              0.0098845,              0.0098845,              0.0098845
                     16,                0.08072,                0.92982,                      1,                0.60791,              0.0098763,              0.0098763,              0.0098763
                     17,                0.04548,                0.92982,                      1,                0.61414,               0.009868,               0.009868,               0.009868
                     18,                0.06098,                0.92982,                      1,                   0.62,              0.0098598,              0.0098598,              0.0098598
                     19,                0.05578,                 0.9386,                      1,                0.61792,              0.0098515,              0.0098515,              0.0098515
                     20,                0.06307,                0.92982,                      1,                0.61145,              0.0098432,              0.0098432,              0.0098432
                     21,                0.07744,                0.94737,                      1,                0.62024,               0.009835,               0.009835,               0.009835
                     22,                 0.0547,                0.94737,                      1,                 0.6001,              0.0098268,              0.0098268,              0.0098268
                     23,                0.06756,                0.95614,                      1,                0.60693,              0.0098185,              0.0098185,              0.0098185
                     24,                0.08649,                0.92105,                      1,                0.61145,              0.0098103,              0.0098103,              0.0098103
                     25,                0.05433,                0.92105,                      1,                0.62439,               0.009802,               0.009802,               0.009802
                     26,                0.05158,                0.97368,                      1,                0.58545,              0.0097938,              0.0097938,              0.0097938
                     27,                 0.0518,                0.95614,                      1,                0.59875,              0.0097855,              0.0097855,              0.0097855
                     28,                0.07126,                0.94737,                      1,                0.60657,              0.0097773,              0.0097773,              0.0097773
                     29,                0.04854,                0.94737,                      1,                0.61926,               0.009769,               0.009769,               0.009769
                     30,                0.03926,                0.94737,                      1,                0.61047,              0.0097608,              0.0097608,              0.0097608
                     31,                0.05471,                0.92982,                      1,                 0.6073,              0.0097525,              0.0097525,              0.0097525
                     32,                0.03971,                0.94737,                      1,                0.59436,              0.0097442,              0.0097442,              0.0097442
                     33,                0.04041,                0.94737,                      1,                0.59387,               0.009736,               0.009736,               0.009736
                     34,                0.06068,                0.97368,                      1,                0.59448,              0.0097278,              0.0097278,              0.0097278
                     35,                0.06536,                0.98246,                      1,                 0.5708,              0.0097195,              0.0097195,              0.0097195
                     36,                0.04218,                0.97368,                      1,                0.57336,              0.0097113,              0.0097113,              0.0097113
                     37,                0.05454,                0.97368,                      1,                0.58545,               0.009703,               0.009703,               0.009703
                     38,                0.05265,                0.97368,                      1,                 0.5769,              0.0096948,              0.0096948,              0.0096948
                     39,                0.02898,                0.96491,                      1,                0.59412,              0.0096865,              0.0096865,              0.0096865
                     40,                0.04847,                0.96491,                      1,                0.58508,              0.0096783,              0.0096783,              0.0096783
                     41,                0.04015,                0.96491,                      1,                0.58972,                0.00967,                0.00967,                0.00967
                     42,                0.03621,                0.99123,                      1,                0.56799,              0.0096618,              0.0096618,              0.0096618
